,source,barrel,bullet,land,score_left_rollapply,score_right_rollapply,score_left_rlo,score_right_rlo,score_left_quadratic,score_right_quadratic,Notes
66,Barrel 7/Bullet 1/HS44 - Barrel 7; Bullet 1; Land 5 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Marco Yepez.dat,Barrel 7,Bullet 1,Land 5,77.90291263,17.25056638,103.6398972,4.199653765,110.8588941,98.80668453,
67,Unknowns/Bullet 'Y'/HS44 - Unknown; Bullet Y; Land 6 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'Y',Land 6,-26.50057431,0,9.84327502,1.419689723,58.0951004,1.419689723,
68,Barrel 3/Bullet 2/HS44 - Barrel 3; Bullet 2; Land 3 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 3,Bullet 2,Land 3,-10.4194046,-57.28535853,-0.387792088,1.19258477,-0.387792088,1.19258477,
69,Barrel 6/Bullet 2/HS44 - Barrel 6 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20 perc. & x10 - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 6,Bullet 2,Land 1,17.53832583,3309.067272,0.829313854,1.722385321,24.26318081,1.722385321,
70,Unknowns/Bullet 'K'/HS44 - Unknown; Bullet K; Land 1 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'K',Land 1,1348.099903,-59.64035447,-4.142381954,3.85630846,0.429444548,9.998458942,
71,Unknowns/Bullet 'U'/HS44 - Unknown; Bullet U; Land 2 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'U',Land 2,98.97725523,-116.0875828,26.36724529,-139.6296925,136.0858727,-113.3505394,
72,Unknowns/Bullet 'S'/HS44 - Unknown; Bullet S; Land 2 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'S',Land 2,-81.39871022,304.356499,-39.47088964,3.271767322,1.717190948,70.45974188,
73,Barrel 9/Bullet 2/HS44 - Barrel 9 - Bullet 2 - Land 5 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 9,Bullet 2,Land 5,-184.6892731,-114.4219913,-16.15319092,-10.3869137,116.3233662,69.46303107,
74,Unknowns/Bullet 'K'/HS44 - Unknown; Bullet K; Land 5 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'K',Land 5,56.86221199,0,28.55074465,53.00896535,132.7572216,4.257841781,
75,Unknowns/Bullet 'U'/HS44 - Unknown; Bullet U; Land 5 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'U',Land 5,97.60381358,50.79603521,-30.43063287,20.64526962,-4.979644821,178.0215085,
76,Unknowns/Bullet 'H'/HS44 - Unknown; Bullet H; Land 3 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'H',Land 3,3.625357039,0,-0.222924626,-253.8700839,-0.222924626,-253.7214619,
77,Unknowns/Bullet 'J'/HS44 - Unknown; Bullet J; Land 6 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'J',Land 6,-62.73037136,378.4288483,-22.14182493,65.66043092,22.68432115,88.68860247,
78,Barrel 9/Bullet 1/HS44 - Barrel 9 - Bullet 1 - Land 3 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 9,Bullet 1,Land 3,-68.50555802,816.1667045,57.73126357,860.5383874,262.4505746,832.6164998,
79,Unknowns/Bullet 'K'/HS44 - Unknown; Bullet K; Land 3 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'K',Land 3,-145.6592359,7946.474266,0.020130061,-2.014206035,110.0800912,47.95645782,
80,Unknowns/Bullet 'L'/HS44 - Unknown; Bullet L; Land 3 - Sneox1 - 20x - auto light left image + 20 perc - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'L',Land 3,-39.52527261,0,0.983476469,-20.93689912,4.639836695,-20.93689912,
81,Barrel 7/Bullet 1/HS44 - Barrel 7; Bullet 1; Land 3 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Marco Yepez.dat,Barrel 7,Bullet 1,Land 3,2165.324866,0,7.430772857,2.615155635,59.4671676,2.615155635,
82,Barrel 9/Bullet 2/HS44 - Barrel 9 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 9,Bullet 2,Land 1,-0.732689336,-150.0116972,-3.734934488,-161.8455268,13.89194705,999.0565809,
